f000001,22.080,29.320,"ACT III An attic room, without windows, but with two skylights, under one of which stands a bowl filled with rainwater."
f000002,29.320,34.800,"Down right, a door thru a board partition into a sort of cubicle under the slanting roof."
f000003,34.800,39.760,"Near it, a wobbly flowertable with a bottle and a smoking oillamp on it."
f000004,39.760,42.360,"Upper right, a wornout couch."
f000005,42.360,46.080,"Door centre; near it, a chair without a seat."
f000006,46.080,50.000,"Down left, below the entrance door, a torn gray mattress."
f000007,50.000,52.880,"None of the doors can shut tight."
f000008,52.880,54.880,"The rain beats on the roof."
f000009,54.880,64.200,"Schigolch in a long gray overcoat lies on the mattress; Alva on the couch, wrapped in a plaid whose straps still hang on the wall above him."
f000010,64.200,66.760,"The rain's drumming for the parade."
f000011,66.760,73.280,"Cheerful weather for her first appearance!"
f000012,73.280,77.960,"I dreamt just now we were dining together at Olympia."
f000013,77.960,80.960,"Bianetta was still with us."
f000014,80.960,84.520,"The tablecloth was dripping on all four sides with champagne."
f000015,84.520,88.040,"Ya, ya."
f000016,88.040,91.600,"And I was dreaming of a Christmas pudding."
f000017,91.600,98.400,"Lulu appears, back, barefoot, in a torn black dress, but with her hair falling to her shoulders."
f000018,98.400,99.400,"Where have you been?"
f000019,99.400,102.680,"Curling your hair first?"
f000020,102.680,106.040,"She only does that to revive old memories."
f000021,106.040,110.800,"If one could only get warmed, just a little, from one of you!"
f000022,110.800,113.560,"Will you enter barefoot on your pilgrimage?"
f000023,113.560,117.640,"The first step always costs all kinds of moaning and groaning."
f000024,117.640,124.600,"Twenty years ago it was no whit better, and what she has learned since then!"
f000025,124.600,127.800,"The coals only have to be blown."
f000026,127.800,134.040,"When she's been at it a week, not ten locomotives will hold her in our miserable attic."
f000027,134.040,136.280,"The bowl is running over."
f000028,136.280,137.480,"What shall I do with the water?"
f000029,137.480,140.400,"Pour it out the window."
f000030,140.400,144.720,"Lulu gets up on the chair and empties the bowl thru the skylight."
f000031,144.720,147.600,"It looks as if the rain would let up at last."
f000032,147.600,151.600,"Your wasting the time when the clerks go home after supper."
f000033,151.600,156.720,"Would to God I were lying somewhere where no step would wake me any more!"
f000034,156.720,160.640,"Would I were, too!"
f000035,160.640,163.920,"Why prolong this life?"
f000036,163.920,170.120,"Let's rather starve to death together this very evening in peace and concord!"
f000037,170.120,174.720,"Is it not the last stage now?"
f000038,174.720,177.320,"Why don't you go out and get us something to eat?"
f000039,177.320,180.080,"You've never earned a penny in your whole life!"
f000040,180.080,185.280,"In this weather, when no one would kick a dog from his door?"
f000041,185.280,186.360,"But me!"
f000042,186.360,191.480,"I, with the little blood I have left in my limbs, I am to stop your mouths!"
f000043,191.480,194.160,"I don't touch a farthing of the money!"
f000044,194.160,197.080,"Let her go, just!"
f000045,197.080,203.280,"I long for one more Christmas pudding; then I've had enough."
f000046,203.280,209.840,"And I long for one more beefsteak and a cigarette; then die!"
f000047,209.840,215.120,"I was just dreaming of a cigarette, such as has never yet been smoked!"
f000048,215.120,221.640,"She'll see us put an end to before her eyes, before doing herself a little pleasure."
f000049,221.640,227.240,"The people on the street will sooner leave cloak and coat in my hands than go with me for nothing!"
f000050,227.240,232.440,"If you hadn't sold my clothes, I at least wouldn't need to be afraid of the lamplight."
f000051,232.440,236.960,"I'd like to see the woman who could earn anything in the rags I'm wearing on my body!"
f000052,236.960,240.120,"I have left nothing human untried."
f000053,240.120,251.640,"As long as I had money I spent whole nights making up tables with which one couldn't help winning against the cleverest cardsharps."
f000054,251.640,261.160,"And yet evening after evening I lost more than if I had shaken out gold by the pailful."
f000055,261.160,273.400,"Then I offered my services to the courtesans; but they don't take anyone without the stamps of the courts, and they see at the first glance if one's related to the guillotine or not."
f000056,273.400,275.560,"Ya, ya."
f000057,275.560,302.480,"I spared myself no disillusionments; but when I made jokes, they laughed at me, and when I behaved as respectable as I am, they boxed my ears, and when I tried being smutty, they got so chaste and maidenly that my hair stood up on my head for horror."
f000058,302.480,309.240,"He who has not prevailed over society, they have no confidence in."
f000059,309.240,313.520,"Won't you kindly put on your boots now, child?"
f000060,313.520,317.280,"I don't think I shall grow much older in this lodging."
f000061,317.280,320.920,"It's months since I had any feeling in the ends of my toes."
f000062,320.920,325.720,"Toward midnight, I'll drink a bit more down in the pub."
f000063,325.720,334.000,"The lady that keeps it told me yesterday I seemed to really want to be her lover."
f000064,334.000,337.400,"In the name of the three devils, I'll go down!"
f000065,337.400,341.000,"She puts to her mouth the bottle on the flowertable."
f000066,341.000,344.760,"So they can smell your stink a halfhour off!"
f000067,344.760,346.680,"I shan't drink it all."
f000068,346.680,348.640,"You won't go down."
f000069,348.640,350.760,"You're my woman."
f000070,350.760,352.280,"You shan't go down."
f000071,352.280,353.760,"I forbid it!"
f000072,353.760,356.600,"What would you forbid your woman when you can't support yourself?"
f000073,356.600,358.720,"Whose fault is that?"
f000074,358.720,363.680,"Who but my woman has laid me on the sickbed?"
f000075,363.680,364.400,"Am I sick?"
f000076,364.400,367.120,"Who has trailed me thru the dung?"
f000077,367.120,371.680,"Who has made me my father's murderer?"
f000078,371.680,374.040,"Did you shoot him?"
f000079,374.040,380.520,"He didn't lose much, but when I see you lying there I could hack off both my hands for having sinned so against my judgment!"
f000080,380.520,383.080,"She goes out, into her room."
f000081,383.080,387.680,"She infected me from her CastiPiani."
f000082,387.680,392.120,"It's a long time since she was susceptible to it herself!"
f000083,392.120,398.600,"Little devils like her can't begin putting up with it too soon, if angels are ever going to come out of them."
f000084,398.600,402.280,"She ought to have been born Empress of Russia."
f000085,402.280,405.320,"Then she'd have been in the right place."
f000086,405.320,407.920,"A second Catherine the Second!"
f000087,407.920,413.000,"Lulu reenters with a wornout pair of boots, and sits on the floor to put them on."
f000088,413.000,416.080,"If only I don't go headfirst down the stairs!"
f000089,416.080,418.080,"Ugh, how cold!"
f000090,418.080,421.120,"Is there anything in the world more dismal than a daughter of joy?"
f000091,421.120,423.840,"Patience, patience!"
f000092,423.840,428.400,"She's only got to take the right road into the business at the start."
f000093,428.400,430.560,"It's all right with me!"
f000094,430.560,432.120,"Nothing's wrong with me any more."
f000095,432.120,434.840,"Puts the bottle to her lips."
f000096,434.840,436.280,"That warms one!"
f000097,436.280,437.360,"O accursed!"
f000098,437.360,438.680,"Exit."
f000099,438.680,444.080,"When we hear her coming, we must creep into my cubbyhole awhile."
f000100,444.080,447.520,"I'm damned sorry for her!"
f000101,447.520,451.400,"When I think back."
f000102,451.400,454.480,"I grew up with her in a way, you know."
f000103,454.480,457.960,"She'll hold out as long as I live, anyway."
f000104,457.960,464.640,"We treated each other at first like brother and sister."
f000105,464.640,466.360,"Mama was still living then."
f000106,466.360,472.280,"I met her by chance one morning when she was dressing."
f000107,472.280,476.440,"Dr. Goll had been called for a consultation."
f000108,476.440,493.480,"Her hairdresser had read my first poem, that I'd had printed in Society: Follow thy pack far over the mountains; it will return again, covered with sweat and dust SCHIGOLCH."
f000109,493.480,496.800,"Oh, ya!"
f000110,496.800,509.960,"And then she came, in rosecolored muslin, with nothing under it but a white satin slipfor the Spanish ambassador's ball."
f000111,509.960,515.080,"Dr. Goll seemed to feel his death near."
f000112,515.080,523.240,"He asked me to dance with her, so she shouldn't cause any mad acts."
f000113,523.240,537.640,"Papa meanwhile never turned his eyes from us, and all thru the waltz she was looking over my shoulder, only at him."
f000114,537.640,542.840,"Afterwards she shot him."
f000115,542.840,544.680,"It is unbelievable."
f000116,544.680,550.440,"I've only got a very strong doubt whether anyone will bite any more."
f000117,550.440,553.480,"I shouldn't like to advise it to anybody!"
f000118,553.480,555.440,"Schigolch grunts."
f000119,555.440,570.000,"At that time, tho she was a fully developed woman, she had the expression of a fiveyearold, joyous, utterly healthy child."
f000120,570.000,577.800,"And she was only three years younger than me thenbut how long ago it is now!"
f000121,577.800,591.760,"For all her immense superiority in matters of practical life, she let me explain Tristan and Isolde to herand how entrancingly she could listen!"
f000122,591.760,605.800,"Out of the little sister who at her marriage still felt like a schoolgirl, came the unhappy, hysterical artist's wife."
f000123,605.800,621.400,"Out of the artist's wife came then the spouse of my blessed father, and out of her came, then, my mistress."
f000124,621.400,629.560,"Well, so that is the way of the world."
f000125,629.560,633.280,"Who will prevail against it?"
f000126,633.280,645.000,"If only she doesn't skid away from the gentlemen with honorable intentions and bring us up instead some vagabond she's exchanged her heart's secrets with."
f000127,645.000,649.840,"I kissed her for the first time in her rustling bridal dress."
f000128,649.840,655.040,"But afterwards she didn't remember it."
f000129,655.040,663.120,"All the same, I believe she had thought of me even in my father's arms."
f000130,663.120,682.880,"It can't have been often with him: he had his best time behind him, and she deceived him with coachman and bootblack; but when she did give herself to him, then I stood before her soul."
f000131,682.880,692.840,"Thru that, too, without my realizing it, she attained this dreadful power over me."
f000132,692.840,695.040,"There they are!"
f000133,695.040,697.680,"Heavy steps are heard mounting the stairs."
f000134,697.680,699.880,"Starting up."
f000135,699.880,702.480,"I will not endure it!"
f000136,702.480,704.320,"I'll throw the fellow out!"
f000137,704.320,710.360,"Wearily picks himself up, takes Alva by the collar and cuffs him toward the left."
f000138,710.360,712.320,"Forward, forward!"
f000139,712.320,717.920,"How is the young man to confess his trouble to her with us two sprawling round here?"
f000140,717.920,723.240,"But if he demands other thingslow thingsof her?"
f000141,723.240,726.440,"If, well, if!"
f000142,726.440,728.960,"What more will he demand of her?"
f000143,728.960,732.000,"He's only a man like the rest of us!"
f000144,732.000,736.360,"We must leave the door open."
f000145,736.360,738.240,"Pushing Alva in, right."
f000146,738.240,739.800,"Nonsense!"
f000147,739.800,740.920,"Lie down!"
f000148,740.920,743.480,"I'll hear it soon enough."
f000149,743.480,745.400,"Heaven spare him!"
f000150,745.400,748.600,"Closing the door, from inside."
f000151,748.600,749.840,"Shut up!"
f000152,749.840,751.000,"Faintly."
f000153,751.000,752.080,"He'd better look out!"
f000154,752.080,761.000,"Lulu enters, followed by Hunidei, a gigantic figure with a smoothshaven, rosy face, skyblue eyes, and a friendly smile."
f000155,761.000,764.920,"He wears a tall hat and overcoat and carries a dripping umbrella."
f000156,764.920,766.760,"Here's where I live."
f000157,766.760,771.400,"Hunidei puts his finger to his lips and looks at Lulu significantly."
f000158,771.400,775.560,"Then he opens his umbrella and puts it on the floor, rear, to dry."
f000159,775.560,778.600,"Of course, I know it isn't very comfortable here."
f000160,778.600,782.200,"Hunidei comes forward and puts his hand over her mouth."
f000161,782.200,785.040,"What do you mean me to understand by that?"
f000162,785.040,789.480,"Hunidei puts his hand over her mouth, and his finger to his lips."
f000163,789.480,792.160,"I don't know what that means."
f000164,792.160,794.920,"Hunidei quickly stops her mouth."
f000165,794.920,796.520,"Lulu frees herself."
f000166,796.520,798.080,"We're quite alone here."
f000167,798.080,799.360,"No one will hear us."
f000168,799.360,808.680,"Hunidei lays his finger on his lips, shakes his head, points at Lulu, opens his mouth as if to speak, points at himself and then at the door."
f000169,808.680,811.320,"Herr Gott, he's a monster!"
f000170,811.320,824.080,"Hunidei stops her mouth; then goes rear, folds up his overcoat and lays it over the chair near the door; then comes down with a broad smile, takes Lulu's head in both his hands and kisses her on the forehead."
f000171,824.080,826.800,"The door, right, half opens."
f000172,826.800,829.280,"Behind the door."
