f000001,11.320,17.760,"CHAPTER II As they entered they saw Dorian Gray."
f000002,17.760,25.280,"He was seated at the piano, with his back to them, turning over the pages of a volume of Schumann's  Forest Scenes."
f000003,25.280,28.360,"You must lend me these, Basil, he cried."
f000004,28.360,29.520,"I want to learn them."
f000005,29.520,32.240,"They are perfectly charming."
f000006,32.240,36.000,"That entirely depends on how you sit today, Dorian."
f000007,36.000,46.920,"Oh, I am tired of sitting, and I don't want a life sized portrait of myself, answered the lad, swinging round on the musicstool, in a wilful, petulant manner."
f000008,46.920,54.440,"When he caught sight of Lord Henry, a faint blush coloured his cheeks for a moment, and he started up."
f000009,54.440,60.000,"I beg your pardon, Basil, but I didn't know you had anyone with you."
f000010,60.000,64.800,"This is Lord Henry Wotton, Dorian, an old Oxford friend of mine."
f000011,64.800,71.880,"I have just been telling him what a capital sitter you were, and now you have spoiled everything."
f000012,71.880,80.120,"You have not spoiled my pleasure in meeting you, Mr. Gray, said Lord Henry, stepping forward and extending his hand."
f000013,80.120,83.400,"My aunt has often spoken to me about you."
f000014,83.400,89.840,"You are one of her favour ites, and, I am afraid, one of her victims also."
f000015,89.840,96.360,"I am in Lady Agatha's black books at present, answered Dorian, with a funny look of penitence."
f000016,96.360,103.560,"I promised to go to a club in Whitechapel with her last Tuesday, and I really forgot all about It."
f000017,103.560,108.200,"We were to have played a duet together three duets, I believe."
f000018,108.200,110.560,"I don't know what she will say to me."
f000019,110.560,113.280,"I am far too frightened to call."
f000020,113.280,116.920,"Oh, I will make your peace with my aunt."
f000021,116.920,119.200,"She Is quite devoted to you."
f000022,119.200,123.160,"And I don't think it really matters about your not being there."
f000023,123.160,126.120,"The audience probably thought it was a duet."
f000024,126.120,132.440,"When Aunt Agatha sits down to the piano she makes quite enough noise for two people."
f000025,132.440,139.400,"That is very horrid to her, and not very nice to me, answered Dorian, laughing."
f000026,139.400,142.080,"Lord Henry looked at him."
f000027,142.080,153.280,"Yes, he was certainly wonderfully handsome, with his finelycurved scarlet lips, his frank blue eyes, his crisp gold hair."
f000028,153.280,157.600,"There was something in his face that made one trust him at once."
f000029,157.600,163.840,"All the candour of youth was there, as well as all youth's passionate purity."
f000030,163.840,168.600,"One felt that he had kept himself unspotted from the world."
f000031,168.600,173.000,"No wonder Basil Hallward worshipped him."
f000032,173.000,179.480,"You are too charming to go in for philanthropy, Mr. Gray far too charming."
f000033,179.480,184.800,"And Lord Henry flung himself down on the divan, and opened his cigarettecase."
f000034,184.800,189.360,"The painter had been busy mixing his colours and getting his brushes ready."
f000035,189.360,201.800,"He was looking worried, and when he heard Lord Henry's last remark he glanced at him, hesitated for a moment, and then said,  Harry, I want to finish this picture today."
f000036,201.800,207.080,"Would you think it awfully rude of me if I asked you to go away ?"
f000037,207.080,210.760,"Lord Henry smiled, and looked at Dorian Gray."
f000038,210.760,214.040,"Am I to go, Mr. Gray ? he asked."
f000039,214.040,216.680,"Oh, please don't, Lord Henry."
f000040,216.680,223.240,"I see that Basil is in one of his sulky moods; and I can't bear him when he sulks."
f000041,223.240,228.880,"Besides, I want you to tell me why I should not go in for philanthropy."
f000042,228.880,232.640,"I don't know that I shall tell you that, Mr. Gray."
f000043,232.640,238.280,"It is so tedious a subject that one would have to talk seriously about it."
f000044,238.280,243.600,"But I certainly shall not run away, now that you have asked me to stop."
f000045,243.600,247.000,"You don't really mind, Basil, do you ?"
f000046,247.000,251.960,"You have often told me that you liked your sitters to have someone to chat to."
f000047,251.960,254.920,"Hallward bit his lip."
f000048,254.920,259.000,"If Dorian wishes it, of course you must stay."
f000049,259.000,265.160,"Dorian's whims are laws to everybody, except himself."
f000050,265.160,268.440,"Lord Henry took up his hat and gloves."
f000051,268.440,273.320,"You are very pressing, Basil, but I am afraid I must go."
f000052,273.320,277.120,"I have promised to meet a man at the Orleans."
f000053,277.120,278.560,"Goodbye, Mr. Gray."
f000054,278.560,282.240,"Come and see me some after noon in Curzon Street."
f000055,282.240,285.680,"I am nearly always at home at five o'clock."
f000056,285.680,287.600,"Write to me when you are coming."
f000057,287.600,289.520,"I should be sorry to miss you."
f000058,289.520,297.960,"Basil, cried Dorian Gray,  if Lord Henry Wotton goes I shall go too."
f000059,297.960,305.440,"You never open your lips while you are painting, and it is horribly dull standing on a platform and trying to look pleasant."
f000060,305.440,306.640,"Ask him to stay."
f000061,306.640,307.880,"I insist upon it."
f000062,307.880,317.720,"Stay, Harry, to oblige Dorian, and to oblige me, said Halhvard, gazing intently at his picture."
f000063,317.720,327.360,"It is quite true, I never talk when I am working, and never listen either, and it must be dreadfully tedious for my unfortunate sitters."
f000064,327.360,330.080,"I beg you to stay."
f000065,330.080,333.880,"But what about my man at the Orleans ?"
f000066,333.880,335.160,"The painter laughed."
f000067,335.160,339.240,"I don't think there will be any difficulty about that."
f000068,339.240,342.280,"Sit down again, Harry."
f000069,342.280,350.000,"And now, Dorian, get up on the platform, and don't move about too much, or pay any attention to what Lord Henry says."
f000070,350.000,358.080,"He has a very bad influence over all his friends, with the single exception of myself."
f000071,358.080,369.040,"Dorian Gray stepped up on the dais, with the air of a young Greek martyr, and made a little moue of discontent to Lord Henry, to whom he had rather taken a fancy."
f000072,369.040,371.720,"He was so unlike Basil."
f000073,371.720,374.680,"They made a delightful contrast."
f000074,374.680,377.760,"And he had such a beautiful voice."
f000075,377.760,383.760,"After a few moments he said to him,  Have you really a very bad influence, Lord Henry ?"
f000076,383.760,386.160,"As bad as Basil says ?"
f000077,386.160,389.640,"There is no such thing as a good influence, Mr. Gray."
f000078,389.640,395.760,"All influence is immoral immoral from the scientific point of view."
f000079,395.760,396.480,"Why ?"
f000080,396.480,402.560,"Because to influence a person is to give him one's own soul."
f000081,402.560,407.040,"He does not think his natural thoughts, or burn with his natural passions."
f000082,407.040,410.240,"His virtues are not real to him."
f000083,410.240,414.440,"His sins, if there are such things as sins, are borrowed."
f000084,414.440,423.240,"He becomes an echo of some one else's music, an actor of a part that has not been written for him."
f000085,423.240,425.960,"The aim of life is selfdevelopment."
f000086,425.960,432.400,"To realise one's nature perfectly that is what each of us is here for."
f000087,432.400,436.240,"People are afraid of themselves, nowadays."
f000088,436.240,443.320,"They have forgotten the highest of all duties, the duty that one owes to one's self."
f000089,443.320,445.560,"Of course they are charitable."
f000090,445.560,449.320,"They feed the hungry, and clothe the beggar."
f000091,449.320,452.680,"But their own souls starve, and are naked."
f000092,452.680,455.280,"Courage has gone out of our race."
f000093,455.280,458.240,"Per haps we never really had it."
f000094,458.240,468.640,"The terror of society, which is the basis of morals, the terror of God, which is the secret of religion these are the two things that govern us."
f000095,468.640,482.560,"And yet   Just turn your head a little more to the right, Dorian, like a good boy, said the painter, deep in his work, and conscious only that a look had come into the lad's face that he had never seen there before."
f000096,482.560,526.160,"And yet, continued Lord Henry, in his low, musical voice, and with that graceful wave of the hand that was always so characteristic of him, and that he had even in his Eton days,  I believe that if one man were to live out his life fully and com pletely, were to give form to every feeling, expression to every thought, reality to every dream I believe that the world would gain such a fresh impulse of joy that we would forget all the maladies of mediae valism, and return to the Hellenic ideal to some thing finer, richer, than the Hellenic ideal, it may be."
f000097,526.160,530.120,"But the bravest man amongst us is afraid of himself."
f000098,530.120,538.920,"The mutilation of the savage has its tragic survival in the selfdenial that mars our lives."
f000099,538.920,542.120,"We are punished for our refusals."
f000100,542.120,547.920,"Every impulse that we strive to strangle broods in the mind, and poisons us."
f000101,547.920,556.880,"The body sins once, and has done with its sin, for action is a mode of purification."
f000102,556.880,563.560,"Nothing remains then but the recollection of a pleasure, or the luxury of a regret."
f000103,563.560,568.440,"The only way to get rid of a temptation is to yield to it."
f000104,568.440,581.320,"Resist it, and your soul grows sick with longing for the things it has forbidden to itself, with desire for what its monstrous laws have made monstrous and unlawful."
f000105,581.320,586.360,"It has been said that the great events of the world take place in the brain."
f000106,586.360,593.760,"It is In the brain, and the brain only, that the great sins of the world take place also."
f000107,593.760,619.680,"You, Mr. Gray, you yourself, with your rosered youth and your rosewhite boyhood, you have had passions that have made you afraid, thoughts that have filled you with terror, daydreams and sleeping dreams whose mere memory might stain your cheek with shame   Stop I  faltered Dorian Gray,  stop ! you bewilder me."
f000108,619.680,621.960,"I don't know what to say."
f000109,621.960,626.480,"There is some answer to you, but I cannot find it."
f000110,626.480,627.720,"Don't speak."
f000111,627.720,629.280,"Let me think."
f000112,629.280,632.640,"Or, rather, let me try not to think."
f000113,632.640,640.600,"For nearly ten minutes he stood there, motionless, with parted lips, and eyes strangely bright."
f000114,640.600,646.880,"He was dimly conscious that entirely fresh influences were at work within him."
f000115,646.880,651.160,"Yet they seemed to him to have come really from himself."
